param,sharpe_ratio,max_ddpercent,max_drawdown_duration,daily_trade_count
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 30, 'difference_exit_num': 10.0, 'std_window': 70, 'mean_window': 35.0}",1.9252304545434564,-5.810599999999995,37,0.3380281690140845
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 35, 'difference_exit_num': 11.666666666666666, 'std_window': 110, 'mean_window': 55.0}",1.7451272497384638,-5.214899999999998,4,0.3380281690140845
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 35, 'difference_exit_num': 11.666666666666666, 'std_window': 80, 'mean_window': 40.0}",1.393643933006034,-5.038953454564609,4,0.28169014084507044
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 35, 'difference_exit_num': 11.666666666666666, 'std_window': 90, 'mean_window': 45.0}",1.393643933006034,-5.038953454564609,4,0.28169014084507044
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 35, 'difference_exit_num': 11.666666666666666, 'std_window': 100, 'mean_window': 50.0}",1.3446279303516364,-5.0600644249560185,4,0.28169014084507044
"{'short_entry_multiplier': 2.5, 'long_entry_multiplier': -2.5, 'difference_filter_num': 35, 'difference_exit_num': 11.666666666666666, 'std_window': 70, 'mean_window': 35.0}",1.2767926358344392,-5.230096545675203,4,0.2535211267605634
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 35, 'difference_exit_num': 11.666666666666666, 'std_window': 70, 'mean_window': 35.0}",1.0041853647301247,-5.710249999999997,4,0.28169014084507044
"{'short_entry_multiplier': 2.5, 'long_entry_multiplier': -2.5, 'difference_filter_num': 30, 'difference_exit_num': 10.0, 'std_window': 80, 'mean_window': 40.0}",0.8879456737267281,-9.428552081811722,14,0.4507042253521127
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 30, 'difference_exit_num': 10.0, 'std_window': 80, 'mean_window': 40.0}",0.8803522011151387,-6.658683975124075,11,0.39436619718309857
"{'short_entry_multiplier': 4.5, 'long_entry_multiplier': -4.5, 'difference_filter_num': 45, 'difference_exit_num': 15.0, 'std_window': 100, 'mean_window': 50.0}",0.8605040695433729,-5.287985168424692,4,0.19718309859154928
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 30, 'difference_exit_num': 10.0, 'std_window': 110, 'mean_window': 55.0}",0.8307693054478285,-8.915360154335369,58,0.4788732394366197
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 40, 'difference_exit_num': 13.333333333333334, 'std_window': 70, 'mean_window': 35.0}",0.7473569345783065,-5.321669593646798,4,0.22535211267605634
"{'short_entry_multiplier': 2.5, 'long_entry_multiplier': -2.5, 'difference_filter_num': 35, 'difference_exit_num': 11.666666666666666, 'std_window': 80, 'mean_window': 40.0}",0.7220004098317433,-5.414400000000005,4,0.22535211267605634
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 30, 'difference_exit_num': 10.0, 'std_window': 100, 'mean_window': 50.0}",0.6758795742410639,-8.272399999999998,52,0.4225352112676056
