param,sharpe_ratio,max_ddpercent,max_drawdown_duration,daily_trade_count
"{'entry_multiplier': 1.5, 'difference_filter_num': 5, 'difference_exit_num': 1.6666666666666667, 'std_window': 35, 'mean_window': 17.5}",2.3261220885609935,-734.7893999999999,212,21.119718309859156
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 1.6666666666666667, 'std_window': 25, 'mean_window': 12.5}",2.289846145407626,-437.2061500000002,212,14.169014084507042
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 1.6666666666666667, 'std_window': 30, 'mean_window': 15.0}",2.057250173633047,-478.41210000000007,212,15.373239436619718
"{'entry_multiplier': 1, 'difference_filter_num': 5, 'difference_exit_num': 1.6666666666666667, 'std_window': 50, 'mean_window': 25.0}",1.9707944932263364,-746.4009500000003,212,21.183098591549296
"{'entry_multiplier': 1, 'difference_filter_num': 5, 'difference_exit_num': 1.6666666666666667, 'std_window': 55, 'mean_window': 27.5}",1.9266916590664018,-789.8206499999999,211,22.338028169014084
"{'entry_multiplier': 1, 'difference_filter_num': 5, 'difference_exit_num': 1.6666666666666667, 'std_window': 25, 'mean_window': 12.5}",1.844877597962124,-519.0102000000002,211,14.816901408450704
"{'entry_multiplier': 1, 'difference_filter_num': 5, 'difference_exit_num': 1.6666666666666667, 'std_window': 45, 'mean_window': 22.5}",1.7679493807055355,-741.5210499999997,211,20.619718309859156
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 1.6666666666666667, 'std_window': 50, 'mean_window': 25.0}",1.6865869448515547,-566.1915499999997,212,16.52112676056338
"{'entry_multiplier': 1.5, 'difference_filter_num': 5, 'difference_exit_num': 1.6666666666666667, 'std_window': 40, 'mean_window': 20.0}",1.6347450547865106,-778.4773000000001,212,22.640845070422536
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 1.6666666666666667, 'std_window': 35, 'mean_window': 17.5}",1.5959391873031585,-490.3734,211,15.352112676056338
