param,sharpe_ratio,max_ddpercent,max_drawdown_duration,daily_trade_count,renew_interval,hedge_ratio_window
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 30, 'mean_window': 10}",2.057250174,-478.4121,212,15.37323944,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 30, 'mean_window': 50}",2.057250174,-478.4121,212,15.37323944,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 30, 'mean_window': 20}",2.057250174,-478.4121,212,15.37323944,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 30, 'mean_window': 55}",2.057250174,-478.4121,212,15.37323944,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 30, 'mean_window': 50}",2.057250174,-478.4121,212,15.37323944,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 30, 'mean_window': 40}",2.057250174,-478.4121,212,15.37323944,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 30, 'mean_window': 30}",2.057250174,-478.4121,212,15.37323944,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 30, 'mean_window': 10}",2.057250174,-478.4121,212,15.37323944,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 30, 'mean_window': 55}",2.057250174,-478.4121,212,15.37323944,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 30, 'mean_window': 20}",2.057250174,-478.4121,212,15.37323944,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 30, 'mean_window': 40}",2.057250174,-478.4121,212,15.37323944,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 30, 'mean_window': 55}",2.057250174,-478.4121,212,15.37323944,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 30, 'mean_window': 30}",2.057250174,-478.4121,212,15.37323944,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 30, 'mean_window': 40}",2.057250174,-478.4121,212,15.37323944,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 30, 'mean_window': 50}",2.057250174,-478.4121,212,15.37323944,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 30, 'mean_window': 30}",2.057250174,-478.4121,212,15.37323944,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 30, 'mean_window': 10}",2.057250174,-478.4121,212,15.37323944,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 30, 'mean_window': 20}",2.057250174,-478.4121,212,15.37323944,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 50, 'mean_window': 40}",1.686586945,-566.19155,212,16.52112676,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 50, 'mean_window': 55}",1.686586945,-566.19155,212,16.52112676,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 50, 'mean_window': 50}",1.686586945,-566.19155,212,16.52112676,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 50, 'mean_window': 40}",1.686586945,-566.19155,212,16.52112676,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 50, 'mean_window': 30}",1.686586945,-566.19155,212,16.52112676,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 50, 'mean_window': 20}",1.686586945,-566.19155,212,16.52112676,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 50, 'mean_window': 10}",1.686586945,-566.19155,212,16.52112676,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 50, 'mean_window': 55}",1.686586945,-566.19155,212,16.52112676,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 50, 'mean_window': 50}",1.686586945,-566.19155,212,16.52112676,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 50, 'mean_window': 50}",1.686586945,-566.19155,212,16.52112676,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 50, 'mean_window': 30}",1.686586945,-566.19155,212,16.52112676,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 50, 'mean_window': 40}",1.686586945,-566.19155,212,16.52112676,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 50, 'mean_window': 20}",1.686586945,-566.19155,212,16.52112676,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 50, 'mean_window': 20}",1.686586945,-566.19155,212,16.52112676,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 50, 'mean_window': 30}",1.686586945,-566.19155,212,16.52112676,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 50, 'mean_window': 10}",1.686586945,-566.19155,212,16.52112676,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 50, 'mean_window': 55}",1.686586945,-566.19155,212,16.52112676,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 50, 'mean_window': 10}",1.686586945,-566.19155,212,16.52112676,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 55, 'mean_window': 40}",1.573366285,-544.1186,212,16.15492958,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 55, 'mean_window': 55}",1.573366285,-544.1186,212,16.15492958,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 55, 'mean_window': 50}",1.573366285,-544.1186,212,16.15492958,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 55, 'mean_window': 40}",1.573366285,-544.1186,212,16.15492958,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 55, 'mean_window': 30}",1.573366285,-544.1186,212,16.15492958,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 55, 'mean_window': 20}",1.573366285,-544.1186,212,16.15492958,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 55, 'mean_window': 10}",1.573366285,-544.1186,212,16.15492958,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 55, 'mean_window': 55}",1.573366285,-544.1186,212,16.15492958,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 55, 'mean_window': 50}",1.573366285,-544.1186,212,16.15492958,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 55, 'mean_window': 50}",1.573366285,-544.1186,212,16.15492958,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 55, 'mean_window': 30}",1.573366285,-544.1186,212,16.15492958,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 55, 'mean_window': 20}",1.573366285,-544.1186,212,16.15492958,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 55, 'mean_window': 10}",1.573366285,-544.1186,212,16.15492958,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 55, 'mean_window': 55}",1.573366285,-544.1186,212,16.15492958,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 55, 'mean_window': 10}",1.573366285,-544.1186,212,16.15492958,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 55, 'mean_window': 40}",1.573366285,-544.1186,212,16.15492958,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 55, 'mean_window': 30}",1.573366285,-544.1186,212,16.15492958,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 55, 'mean_window': 20}",1.573366285,-544.1186,212,16.15492958,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 55, 'mean_window': 55}",1.486750854,-274.33425,212,8.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 55, 'mean_window': 50}",1.486750854,-274.33425,212,8.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 55, 'mean_window': 40}",1.486750854,-274.33425,212,8.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 55, 'mean_window': 30}",1.486750854,-274.33425,212,8.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 55, 'mean_window': 20}",1.486750854,-274.33425,212,8.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 55, 'mean_window': 10}",1.486750854,-274.33425,212,8.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 55, 'mean_window': 55}",1.486750854,-274.33425,212,8.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 55, 'mean_window': 50}",1.486750854,-274.33425,212,8.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 55, 'mean_window': 40}",1.486750854,-274.33425,212,8.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 55, 'mean_window': 30}",1.486750854,-274.33425,212,8.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 55, 'mean_window': 40}",1.486750854,-274.33425,212,8.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 55, 'mean_window': 20}",1.486750854,-274.33425,212,8.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 55, 'mean_window': 20}",1.486750854,-274.33425,212,8.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 55, 'mean_window': 30}",1.486750854,-274.33425,212,8.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 55, 'mean_window': 10}",1.486750854,-274.33425,212,8.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 55, 'mean_window': 50}",1.486750854,-274.33425,212,8.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 55, 'mean_window': 55}",1.486750854,-274.33425,212,8.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 55, 'mean_window': 10}",1.486750854,-274.33425,212,8.788732394,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 20, 'mean_window': 40}",1.343926787,-421.9083,205,13.45774648,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 20, 'mean_window': 55}",1.343926787,-421.9083,205,13.45774648,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 20, 'mean_window': 50}",1.343926787,-421.9083,205,13.45774648,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 20, 'mean_window': 40}",1.343926787,-421.9083,205,13.45774648,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 20, 'mean_window': 30}",1.343926787,-421.9083,205,13.45774648,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 20, 'mean_window': 10}",1.343926787,-421.9083,205,13.45774648,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 20, 'mean_window': 55}",1.343926787,-421.9083,205,13.45774648,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 20, 'mean_window': 50}",1.343926787,-421.9083,205,13.45774648,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 20, 'mean_window': 20}",1.343926787,-421.9083,205,13.45774648,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 20, 'mean_window': 30}",1.343926787,-421.9083,205,13.45774648,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 20, 'mean_window': 50}",1.343926787,-421.9083,205,13.45774648,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 20, 'mean_window': 20}",1.343926787,-421.9083,205,13.45774648,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 20, 'mean_window': 30}",1.343926787,-421.9083,205,13.45774648,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 20, 'mean_window': 40}",1.343926787,-421.9083,205,13.45774648,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 20, 'mean_window': 20}",1.343926787,-421.9083,205,13.45774648,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 20, 'mean_window': 10}",1.343926787,-421.9083,205,13.45774648,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 20, 'mean_window': 55}",1.343926787,-421.9083,205,13.45774648,3,30
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 20, 'mean_window': 10}",1.343926787,-421.9083,205,13.45774648,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 20, 'mean_window': 40}",1.255011275,-198.67095,212,6.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 20, 'mean_window': 55}",1.255011275,-198.67095,212,6.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 20, 'mean_window': 50}",1.255011275,-198.67095,212,6.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 20, 'mean_window': 40}",1.255011275,-198.67095,212,6.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 20, 'mean_window': 30}",1.255011275,-198.67095,212,6.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 20, 'mean_window': 20}",1.255011275,-198.67095,212,6.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 6, 'std_window': 20, 'mean_window': 10}",1.255011275,-198.67095,212,6.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 20, 'mean_window': 55}",1.255011275,-198.67095,212,6.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 20, 'mean_window': 50}",1.255011275,-198.67095,212,6.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 20, 'mean_window': 30}",1.255011275,-198.67095,212,6.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 20, 'mean_window': 20}",1.255011275,-198.67095,212,6.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 4, 'std_window': 20, 'mean_window': 10}",1.255011275,-198.67095,212,6.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 20, 'mean_window': 55}",1.255011275,-198.67095,212,6.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 20, 'mean_window': 50}",1.255011275,-198.67095,212,6.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 20, 'mean_window': 40}",1.255011275,-198.67095,212,6.788732394,3,30
"{'entry_multiplier': 2.5, 'difference_filter_num': 5, 'difference_exit_num': 2, 'std_window': 20, 'mean_window': 30}",1.255011275,-198.67095,212,6.788732394,3,30
