param,sharpe_ratio,max_ddpercent,max_drawdown_duration,daily_trade_count
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2.5, 'std_window': 55, 'mean_window': 27.5, 'hedge_ratio_window': 200, 'renew_interval': 1}",3.1351083240035496,-541.1478499999998,212,16.183098591549296
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2.5, 'std_window': 50, 'mean_window': 25.0, 'hedge_ratio_window': 40, 'renew_interval': 2}",2.666383699829659,-681.62305,212,17.802816901408452
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2.5, 'std_window': 50, 'mean_window': 25.0, 'hedge_ratio_window': 260, 'renew_interval': 4}",2.628755031711437,-508.043,212,15.704225352112676
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2.5, 'std_window': 40, 'mean_window': 20.0, 'hedge_ratio_window': 260, 'renew_interval': 4}",2.599095926239553,-515.9656500000001,212,15.598591549295774
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2.5, 'std_window': 50, 'mean_window': 25.0, 'hedge_ratio_window': 260, 'renew_interval': 2}",2.5351592899126354,-588.3402499999999,212,16.676056338028168
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2.5, 'std_window': 55, 'mean_window': 27.5, 'hedge_ratio_window': 120, 'renew_interval': 5}",2.516738479511841,-530.7979500000001,212,14.859154929577464
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2.5, 'std_window': 50, 'mean_window': 25.0, 'hedge_ratio_window': 120, 'renew_interval': 5}",2.5048724318729105,-554.4745500000004,212,15.169014084507042
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2.5, 'std_window': 40, 'mean_window': 20.0, 'hedge_ratio_window': 240, 'renew_interval': 2}",2.4147353413631083,-590.7815499999999,212,17.154929577464788
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2.5, 'std_window': 55, 'mean_window': 27.5, 'hedge_ratio_window': 80, 'renew_interval': 4}",2.3483329453811885,-484.1262999999998,212,14.52112676056338
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2.5, 'std_window': 50, 'mean_window': 25.0, 'hedge_ratio_window': 80, 'renew_interval': 1}",2.345480413301064,-568.8251999999998,212,16.169014084507044
"{'entry_multiplier': 2, 'difference_filter_num': 5, 'difference_exit_num': 2.5, 'std_window': 50, 'mean_window': 25.0, 'hedge_ratio_window': 200, 'renew_interval': 4}",2.330470670806624,-568.0926000000002,212,16.04225352112676
