param,sharpe_ratio,max_ddpercent,max_drawdown_duration,daily_trade_count,,止损是diffence_filter_num的1/3
"{'short_entry_multiplier': 2, 'long_entry_multiplier': -2, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 120, 'mean_window': 60.0}",1.498792788,0,0,0.028169014,,线性回归使用30个5分钟数据
"{'short_entry_multiplier': 4, 'long_entry_multiplier': -4, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 120, 'mean_window': 60.0}",1.498792788,0,0,0.028169014,,
"{'short_entry_multiplier': 5, 'long_entry_multiplier': -5, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 120, 'mean_window': 60.0}",1.498792788,0,0,0.028169014,,
"{'short_entry_multiplier': 6, 'long_entry_multiplier': -6, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 120, 'mean_window': 60.0}",1.498792788,0,0,0.028169014,,
"{'short_entry_multiplier': 3, 'long_entry_multiplier': -3, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 120, 'mean_window': 60.0}",1.498792788,0,0,0.028169014,,
"{'short_entry_multiplier': 2, 'long_entry_multiplier': -2, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 180, 'mean_window': 90.0}",0.70221207,-8.593018914,160,0.070422535,,
"{'short_entry_multiplier': 3, 'long_entry_multiplier': -3, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 180, 'mean_window': 90.0}",0.70221207,-8.593018914,160,0.070422535,,
"{'short_entry_multiplier': 4, 'long_entry_multiplier': -4, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 180, 'mean_window': 90.0}",0.70221207,-8.593018914,160,0.070422535,,
"{'short_entry_multiplier': 5, 'long_entry_multiplier': -5, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 180, 'mean_window': 90.0}",0.70221207,-8.593018914,160,0.070422535,,
"{'short_entry_multiplier': 6, 'long_entry_multiplier': -6, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 180, 'mean_window': 90.0}",0.70221207,-8.593018914,160,0.070422535,,
"{'short_entry_multiplier': 5, 'long_entry_multiplier': -5, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 150, 'mean_window': 75.0}",0.227085687,-7.561431794,58,0.056338028,,
"{'short_entry_multiplier': 6, 'long_entry_multiplier': -6, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 150, 'mean_window': 75.0}",0.227085687,-7.561431794,58,0.056338028,,
"{'short_entry_multiplier': 3, 'long_entry_multiplier': -3, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 150, 'mean_window': 75.0}",0.227085687,-7.561431794,58,0.056338028,,
"{'short_entry_multiplier': 4, 'long_entry_multiplier': -4, 'difference_filter_num': 80, 'difference_exit_num': 26.666666666666668, 'std_window': 150, 'mean_window': 75.0}",0.227085687,-7.561431794,58,0.056338028,,
