param,sharpe_ratio,max_ddpercent,max_drawdown_duration,daily_trade_count
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 30, 'difference_exit_num': 10.0, 'std_window': 70, 'mean_window': 35.0}",2.6861262219793725,-5.097692764567934,30,0.410958904109589
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 35, 'difference_exit_num': 11.666666666666666, 'std_window': 90, 'mean_window': 45.0}",1.8556887867261924,-6.446629742662298,35,0.3287671232876712
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 35, 'difference_exit_num': 11.666666666666666, 'std_window': 80, 'mean_window': 40.0}",1.8502137510214378,-6.452550514747986,35,0.3287671232876712
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 35, 'difference_exit_num': 11.666666666666666, 'std_window': 110, 'mean_window': 55.0}",1.8280467491392174,-7.532884477792652,35,0.3561643835616438
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 30, 'difference_exit_num': 10.0, 'std_window': 80, 'mean_window': 40.0}",1.822177388281844,-5.966215952421232,11,0.4657534246575342
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 35, 'difference_exit_num': 11.666666666666666, 'std_window': 100, 'mean_window': 50.0}",1.8130950599279758,-6.446629742662298,35,0.3287671232876712
"{'short_entry_multiplier': 4.5, 'long_entry_multiplier': -4.5, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 80, 'mean_window': 40.0}",1.755087836521155,-2.1729997281543705,10,0.0821917808219178
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 30, 'difference_exit_num': 10.0, 'std_window': 100, 'mean_window': 50.0}",1.6900219286583311,-7.276620018621685,45,0.4931506849315068
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 30, 'difference_exit_num': 10.0, 'std_window': 110, 'mean_window': 55.0}",1.661009937659342,-7.664533749440572,52,0.5205479452054794
"{'short_entry_multiplier': 2.5, 'long_entry_multiplier': -2.5, 'difference_filter_num': 35, 'difference_exit_num': 11.666666666666666, 'std_window': 70, 'mean_window': 35.0}",1.597189033840146,-6.359695819239188,35,0.273972602739726
"{'short_entry_multiplier': 2.5, 'long_entry_multiplier': -2.5, 'difference_filter_num': 30, 'difference_exit_num': 10.0, 'std_window': 80, 'mean_window': 40.0}",1.5300090106194535,-8.528744071803644,14,0.4931506849315068
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 30, 'difference_exit_num': 10.0, 'std_window': 90, 'mean_window': 45.0}",1.5281353596429208,-7.364890510724195,45,0.4383561643835616
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 35, 'difference_exit_num': 11.666666666666666, 'std_window': 70, 'mean_window': 35.0}",1.4990131871861332,-7.176852337712831,37,0.3287671232876712
"{'short_entry_multiplier': 4.5, 'long_entry_multiplier': -4.5, 'difference_filter_num': 45, 'difference_exit_num': 15.0, 'std_window': 100, 'mean_window': 50.0}",1.4279147363052052,-6.538572167681658,35,0.2465753424657534
"{'short_entry_multiplier': 2.5, 'long_entry_multiplier': -2.5, 'difference_filter_num': 35, 'difference_exit_num': 11.666666666666666, 'std_window': 80, 'mean_window': 40.0}",1.2978361575247632,-6.640618166987217,35,0.273972602739726
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 40, 'difference_exit_num': 13.333333333333334, 'std_window': 70, 'mean_window': 35.0}",1.2798243686267343,-6.354515203840549,35,0.273972602739726
"{'short_entry_multiplier': 2.5, 'long_entry_multiplier': -2.5, 'difference_filter_num': 55, 'difference_exit_num': 18.333333333333332, 'std_window': 70, 'mean_window': 35.0}",1.2761346184394682,-2.244287770846405,140,0.0547945205479452
"{'short_entry_multiplier': 2.5, 'long_entry_multiplier': -2.5, 'difference_filter_num': 55, 'difference_exit_num': 18.333333333333332, 'std_window': 80, 'mean_window': 40.0}",1.262773778264523,-2.250442109880868,140,0.0547945205479452
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 55, 'difference_exit_num': 18.333333333333332, 'std_window': 100, 'mean_window': 50.0}",1.252811881844336,-2.254561036307017,140,0.0547945205479452
"{'short_entry_multiplier': 4.5, 'long_entry_multiplier': -4.5, 'difference_filter_num': 55, 'difference_exit_num': 18.333333333333332, 'std_window': 100, 'mean_window': 50.0}",1.2475188994393496,-2.2587095708965474,140,0.0547945205479452
"{'short_entry_multiplier': 4.5, 'long_entry_multiplier': -4.5, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 90, 'mean_window': 45.0}",1.2399373158406637,-2.2604129798385366,140,0.0547945205479452
"{'short_entry_multiplier': 4.5, 'long_entry_multiplier': -4.5, 'difference_filter_num': 55, 'difference_exit_num': 18.333333333333332, 'std_window': 90, 'mean_window': 45.0}",1.239836738798999,-2.260780228088705,140,0.0547945205479452
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 55, 'difference_exit_num': 18.333333333333332, 'std_window': 90, 'mean_window': 45.0}",1.2264554664960057,-2.2607740010989854,140,0.0547945205479452
"{'short_entry_multiplier': 4.5, 'long_entry_multiplier': -4.5, 'difference_filter_num': 55, 'difference_exit_num': 18.333333333333332, 'std_window': 70, 'mean_window': 35.0}",1.2235480811284796,-2.2649371195728554,140,0.0547945205479452
"{'short_entry_multiplier': 4.5, 'long_entry_multiplier': -4.5, 'difference_filter_num': 55, 'difference_exit_num': 18.333333333333332, 'std_window': 80, 'mean_window': 40.0}",1.2235480811284796,-2.2649371195728554,140,0.0547945205479452
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 55, 'difference_exit_num': 18.333333333333332, 'std_window': 80, 'mean_window': 40.0}",1.2168508196410395,-2.267029651650433,140,0.0547945205479452
"{'short_entry_multiplier': 4.5, 'long_entry_multiplier': -4.5, 'difference_filter_num': 55, 'difference_exit_num': 18.333333333333332, 'std_window': 110, 'mean_window': 55.0}",1.2168508196410395,-2.267029651650433,140,0.0547945205479452
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 55, 'difference_exit_num': 18.333333333333332, 'std_window': 110, 'mean_window': 55.0}",1.2153258624298224,-2.264939202883785,140,0.0547945205479452
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 55, 'difference_exit_num': 18.333333333333332, 'std_window': 70, 'mean_window': 35.0}",1.18984967219661,-2.273311622518006,140,0.0547945205479452
"{'short_entry_multiplier': 4.5, 'long_entry_multiplier': -4.5, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 70, 'mean_window': 35.0}",1.17973890436361,-3.189364984988695,21,0.1095890410958904
"{'short_entry_multiplier': 4.5, 'long_entry_multiplier': -4.5, 'difference_filter_num': 40, 'difference_exit_num': 13.333333333333334, 'std_window': 100, 'mean_window': 50.0}",1.1554907175448963,-6.538572167681658,35,0.273972602739726
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 45, 'difference_exit_num': 15.0, 'std_window': 100, 'mean_window': 50.0}",1.0652936288218973,-5.447582764903406,4,0.1917808219178082
"{'short_entry_multiplier': 2.5, 'long_entry_multiplier': -2.5, 'difference_filter_num': 30, 'difference_exit_num': 10.0, 'std_window': 70, 'mean_window': 35.0}",1.0398722369767273,-9.000092686393145,14,0.4931506849315068
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 45, 'difference_exit_num': 15.0, 'std_window': 110, 'mean_window': 55.0}",1.0117627743792255,-5.447582764903406,4,0.1917808219178082
"{'short_entry_multiplier': 2.5, 'long_entry_multiplier': -2.5, 'difference_filter_num': 55, 'difference_exit_num': 18.333333333333332, 'std_window': 100, 'mean_window': 50.0}",0.9439277775511102,-5.349275939005501,4,0.0547945205479452
"{'short_entry_multiplier': 2.5, 'long_entry_multiplier': -2.5, 'difference_filter_num': 55, 'difference_exit_num': 18.333333333333332, 'std_window': 90, 'mean_window': 45.0}",0.9272384874475972,-5.358800075809398,4,0.0547945205479452
"{'short_entry_multiplier': 2.5, 'long_entry_multiplier': -2.5, 'difference_filter_num': 25, 'difference_exit_num': 8.333333333333334, 'std_window': 80, 'mean_window': 40.0}",0.9003287535151336,-10.121262063984693,8,0.7397260273972602
"{'short_entry_multiplier': 4.5, 'long_entry_multiplier': -4.5, 'difference_filter_num': 45, 'difference_exit_num': 15.0, 'std_window': 70, 'mean_window': 35.0}",0.8239443236530876,-5.524091165148388,4,0.1917808219178082
"{'short_entry_multiplier': 2.5, 'long_entry_multiplier': -2.5, 'difference_filter_num': 35, 'difference_exit_num': 11.666666666666666, 'std_window': 90, 'mean_window': 45.0}",0.6911519623985131,-7.900585446781795,35,0.2465753424657534
"{'short_entry_multiplier': 4.5, 'long_entry_multiplier': -4.5, 'difference_filter_num': 45, 'difference_exit_num': 15.0, 'std_window': 110, 'mean_window': 55.0}",0.6841408649376849,-5.362557637076837,4,0.2191780821917808
"{'short_entry_multiplier': 4.5, 'long_entry_multiplier': -4.5, 'difference_filter_num': 40, 'difference_exit_num': 13.333333333333334, 'std_window': 110, 'mean_window': 55.0}",0.5928136631143105,-7.773751145470167,35,0.273972602739726
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 40, 'difference_exit_num': 13.333333333333334, 'std_window': 100, 'mean_window': 50.0}",0.5598906768839735,-6.616613770203085,35,0.2465753424657534
"{'short_entry_multiplier': 2.5, 'long_entry_multiplier': -2.5, 'difference_filter_num': 40, 'difference_exit_num': 13.333333333333334, 'std_window': 70, 'mean_window': 35.0}",0.5482396786799407,-5.4770302757203595,4,0.136986301369863
"{'short_entry_multiplier': 4.5, 'long_entry_multiplier': -4.5, 'difference_filter_num': 40, 'difference_exit_num': 13.333333333333334, 'std_window': 90, 'mean_window': 45.0}",0.545747840794106,-7.634989032155487,38,0.2465753424657534
"{'short_entry_multiplier': 2.5, 'long_entry_multiplier': -2.5, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 80, 'mean_window': 40.0}",0.5157274142216756,-5.47883145674911,4,0.0821917808219178
"{'short_entry_multiplier': 4.5, 'long_entry_multiplier': -4.5, 'difference_filter_num': 35, 'difference_exit_num': 11.666666666666666, 'std_window': 80, 'mean_window': 40.0}",0.5101219510341071,-9.285358942839846,140,0.2465753424657534
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 40, 'difference_exit_num': 13.333333333333334, 'std_window': 110, 'mean_window': 55.0}",0.5000781309711267,-8.91724917159335,35,0.273972602739726
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 110, 'mean_window': 55.0}",0.46211768983944357,-5.503863606974447,4,0.0821917808219178
"{'short_entry_multiplier': 2.5, 'long_entry_multiplier': -2.5, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 70, 'mean_window': 35.0}",0.4395184027180905,-5.513966881957293,4,0.0821917808219178
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 70, 'mean_window': 35.0}",0.4045428891378142,-5.5291458495142365,4,0.0821917808219178
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 40, 'difference_exit_num': 13.333333333333334, 'std_window': 90, 'mean_window': 45.0}",0.399077583214871,-7.631464544706276,35,0.2465753424657534
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 80, 'mean_window': 40.0}",0.39252172676546193,-5.5342444354084535,4,0.0821917808219178
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 100, 'mean_window': 50.0}",0.39252172676546193,-5.5342444354084535,4,0.0821917808219178
"{'short_entry_multiplier': 2.5, 'long_entry_multiplier': -2.5, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 100, 'mean_window': 50.0}",0.3772426538434849,-6.052038732024291,147,0.0821917808219178
"{'short_entry_multiplier': 2.5, 'long_entry_multiplier': -2.5, 'difference_filter_num': 50, 'difference_exit_num': 16.666666666666668, 'std_window': 110, 'mean_window': 55.0}",0.35121431355184707,-6.146989692051346,147,0.0821917808219178
"{'short_entry_multiplier': 2.5, 'long_entry_multiplier': -2.5, 'difference_filter_num': 55, 'difference_exit_num': 18.333333333333332, 'std_window': 110, 'mean_window': 55.0}",0.3447348989728258,-6.319380306459221,147,0.0821917808219178
"{'short_entry_multiplier': 3.5, 'long_entry_multiplier': -3.5, 'difference_filter_num': 45, 'difference_exit_num': 15.0, 'std_window': 90, 'mean_window': 45.0}",0.30209232422249677,-6.017867545491729,147,0.1643835616438356
